////////////////////////
//Tree Max Fruit Drops//
////////////////////////

//Set default to 4.

2|16
4|16
10|8
14|16
16|16
52|16
54|8
56|8
58|8
100|8
102|8
104|12
116|16
118|8
162|8
164|8
166|8
168|8
170|8
172|8
174|8
176|8
178|8
180|8
182|8
184|8
186|8
198|8
200|8
248|8
260|8
284|8
324|8
336|12
340|8
378|8
380|8
412|8
414|8
416|8
418|8
420|8
422|8
424|8
426|8
432|8
434|8
436|8
440|8
442|16
454|8
460|8
510|8
512|8
514|8
516|8
518|8
520|8
522|8
526|8
554|8
596|8
612|8
620|8
626|8
628|8
630|8
632|8
634|8
636|8
638|8
640|8
642|8
644|8
646|8
648|8
654|8
682|8
668|8
832|8
850|8
856|8
880|8
884|8
888|8
944|8
954|8
1132|8
1134|8
1138|8
1154|8
1258|8
1260|8
1262|8
1264|8
1266|8
1268|8
1270|8
1300|8
1324|8
1498|8
1500|8
1536|8
1538|8
1554|8
1556|8
1558|8
1560|8
1562|8
1564|8
1566|8
1630|16
1654|8
1786|1
1787|1
1788|1
1789|1
1790|1
2008|8
2012|8
2014|8
2016|8
2020|8
2022|8
2024|8
2026|8
2028|8
2034|1
2035|1
2036|1
2037|1
2070|8
2786|8
2788|8
2790|8
2796|8
2808|8
2988|8
2990|8
3004|8
3080|8
3082|8
3084|8
3260|8
3472|8
3520|8
3556|8
3564|8
3838|8
3930|8
4308|8
4310|8
4312|8
4314|8
4316|8
4318|8
4490|1
4491|1
4584|8
4634|8
4636|8
4638|8
4640|8
4642|8
5666|8

// Flute Notes
5726|8
5728|8
5730|8

//5742|8 Paper diving wall - Unsure
5990|8
6030|8
6032|8
6034|8
6386|8
6388|8
6542|8
6544|8

// Violin Notes
6808|8
6810|8
6812|8
